SsOH,C1SP2,minHBa,maxssO,ALogP,ATSc1,ATSc3,ATSc5,BCUTc-1l,BCUTc-1h,BCUTp-1h,mindssC,minsssN,hmin,LipoaffinityIndex,MAXDP2,ETA_BetaP_s,nHBAcc,nBondsD2,nsssCH,bianhua
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.6215018632992457,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.610972630420679,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.6004433975421128,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.589914164663546,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.5793849317849797,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.568855698906413,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.5583264660278466,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.5477972331492802,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.1348896
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.5372680002707135,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.143084
3.552713678800501e-15,0.0,0.0,-1.7763568394002505e-15,0.0,-1.526738767392147,0.0,0.0,-1.1102230246251565e-16,1.3877787807814457e-17,1.7763568394002505e-15,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-1.7763568394002505e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,6.143084
